StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);Rate(P);Rate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);MsgRecvPerS(P);MsgRecvPerS(C);MsgSendPerS(P);MsgSendPerS(C);UnexpectedMsg(P);UnexpectedMsg(C);CurrentCall;InitSuccessfulCall(P);InitSuccessfulCall(C);TrafficSuccessfulCall(P);TrafficSuccessfulCall(C);DefaultSuccessfulCall(P);DefaultSuccessfulCall(C);AbortSuccessfulCall(P);AbortSuccessfulCall(C);FailedCall(P);FailedCall(C);FailedRefused(P);FailedRefused(C);FailedAborted(P);FailedAborted(C);FailedTimeout(P);FailedTimeout(C);ResponseTime(P);ResponseTime(C);ResponseTimeRepartition;<50;<75;<100;<150;<300;<5000;>=5000;
2021-12-24 12:31:40;2021-12-24 12:32:21;2021-12-24 12:32:22;00:00:01;00:00:42;1;0.261805;1;11;0;0;1;0.261805;1;0.261805;0;0;0;0;1;1;10;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:22;2021-12-24 12:32:23;00:00:01;00:00:43;1;0.278959;1;12;0;0;1;0.278959;1;0.278959;0;0;0;0;1;1;11;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:23;2021-12-24 12:32:24;00:00:01;00:00:44;1;0.29534;1;13;0;0;1;0.29534;1;0.29534;0;0;0;0;1;1;12;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:24;2021-12-24 12:32:25;00:00:01;00:00:45;1;0.310987;1;14;0;0;1;0.310987;1;0.310987;0;0;0;0;1;1;13;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:25;2021-12-24 12:32:26;00:00:01;00:00:46;1;0.325959;1;15;0;0;1;0.325959;1;0.325959;0;0;0;0;1;1;14;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:26;2021-12-24 12:32:27;00:00:01;00:00:47;1;0.340288;1;16;0;0;1;0.340288;1;0.340288;0;0;0;0;1;1;15;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:27;2021-12-24 12:32:28;00:00:01;00:00:48;1;0.354027;1;17;0;0;1;0.354027;1;0.354027;0;0;0;0;1;1;16;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:28;2021-12-24 12:32:29;00:00:01;00:00:49;1;0.367205;1;18;0;0;1;0.367205;1;0.367205;0;0;0;0;1;1;17;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:29;2021-12-24 12:32:30;00:00:01;00:00:50;1;0.379848;1;19;0;0;1;0.379848;1;0.379848;0;0;0;0;1;1;18;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:30;2021-12-24 12:32:31;00:00:01;00:00:51;1;0.392003;1;20;0;0;1;0.392003;1;0.392003;0;0;0;0;1;1;19;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:31;2021-12-24 12:32:32;00:00:01;00:00:52;1;0.403691;1;21;0;0;1;0.403691;1;0.403691;0;0;0;0;1;1;20;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:32;2021-12-24 12:32:33;00:00:01;00:00:53;1;0.41493;1;22;0;0;1;0.41493;1;0.41493;0;0;0;0;1;1;21;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:33;2021-12-24 12:32:34;00:00:01;00:00:54;1;0.42576;1;23;0;0;1;0.42576;1;0.42576;0;0;0;0;1;1;22;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:34;2021-12-24 12:32:35;00:00:01;00:00:55;1;0.436189;1;24;0;0;1;0.436189;1;0.436189;0;0;0;0;1;1;23;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:35;2021-12-24 12:32:36;00:00:01;00:00:56;1;0.446253;1;25;0;0;1;0.446253;1;0.446253;0;0;0;0;1;1;24;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:36;2021-12-24 12:32:37;00:00:01;00:00:57;1;0.455956;1;26;0;0;1;0.455956;1;0.455956;0;0;0;0;1;1;25;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:37;2021-12-24 12:32:38;00:00:01;00:00:58;1;0.465333;1;27;0;0;1;0.465333;1;0.465333;0;0;0;0;1;1;26;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:38;2021-12-24 12:32:39;00:00:01;00:00:59;1;0.474391;1;28;0;0;1;0.474391;1;0.474391;0;0;0;0;1;1;27;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:39;2021-12-24 12:32:40;00:00:01;00:01:00;1;0.48314;1;29;0;0;1;0.48314;1;0.48314;0;0;0;0;1;1;28;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:40;2021-12-24 12:32:41;00:00:01;00:01:01;1;0.49161;1;30;0;0;1;0.49161;1;0.49161;0;0;0;0;1;1;29;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
2021-12-24 12:31:40;2021-12-24 12:32:41;2021-12-24 12:32:42;00:00:01;00:01:02;1;0.499798;1;31;0;0;1;0.499798;1;0.499798;0;0;0;0;1;1;30;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000;00:00:00:000;;0;0;0;0;0;0;0;
